algorithm,array_type,n,time_ms,char_cmps
MergeSort (std),nearly_sorted,2800,5.19363,35189
Ternary String QSort,nearly_sorted,2800,1.42765,26682
String MergeSort (LCP),nearly_sorted,2800,8.6877,28222
MSD Radix Sort,nearly_sorted,2800,3.39316,6769
MSD Radix + TStrQSort,nearly_sorted,2800,1.14842,13509
QuickSort (std),nearly_sorted,2900,4.3062,107103
MergeSort (std),nearly_sorted,2900,5.38197,36479
Ternary String QSort,nearly_sorted,2900,1.50607,27947
String MergeSort (LCP),nearly_sorted,2900,8.95104,29330
MSD Radix Sort,nearly_sorted,2900,3.50674,7003
MSD Radix + TStrQSort,nearly_sorted,2900,1.18617,13996
QuickSort (std),nearly_sorted,3000,2.54971,52554
MergeSort (std),nearly_sorted,3000,5.5428,37357
Ternary String QSort,nearly_sorted,3000,1.60756,29780
String MergeSort (LCP),nearly_sorted,3000,9.30994,29937
MSD Radix Sort,nearly_sorted,3000,3.64149,7260
MSD Radix + TStrQSort,nearly_sorted,3000,1.22633,14557
QuickSort (std),common_prefix,100,1.04068,35226
MergeSort (std),common_prefix,100,0.900417,28311
Ternary String QSort,common_prefix,100,0.165775,5571
String MergeSort (LCP),common_prefix,100,0.3441,5558
MSD Radix Sort,common_prefix,100,1.03539,5175
MSD Radix + TStrQSort,common_prefix,100,0.167283,5571
QuickSort (std),common_prefix,200,2.2393,78630
MergeSort (std),common_prefix,200,2.06673,66360
Ternary String QSort,common_prefix,200,0.341392,11387
String MergeSort (LCP),common_prefix,200,0.739967,11447
MSD Radix Sort,common_prefix,200,1.85104,10391
MSD Radix + TStrQSort,common_prefix,200,1.61927,10412
QuickSort (std),common_prefix,300,3.61744,128267
MergeSort (std),common_prefix,300,3.33107,107509
Ternary String QSort,common_prefix,300,0.497408,17177
String MergeSort (LCP),common_prefix,300,1.14589,17432
MSD Radix Sort,common_prefix,300,2.6151,15605
MSD Radix + TStrQSort,common_prefix,300,2.31388,15704
QuickSort (std),common_prefix,400,5.03557,178591
MergeSort (std),common_prefix,400,4.71643,152577
Ternary String QSort,common_prefix,400,0.681966,22903
String MergeSort (LCP),common_prefix,400,1.54222,23549
MSD Radix Sort,common_prefix,400,3.39971,20823
MSD Radix + TStrQSort,common_prefix,400,3.07819,21100
QuickSort (std),common_prefix,500,6.88047,243773
MergeSort (std),common_prefix,500,6.10499,198171
Ternary String QSort,common_prefix,500,0.842167,29123
String MergeSort (LCP),common_prefix,500,1.95719,29719
MSD Radix Sort,common_prefix,500,4.11592,26041
MSD Radix + TStrQSort,common_prefix,500,3.72238,26498
QuickSort (std),common_prefix,600,8.43365,299624
MergeSort (std),common_prefix,600,7.57143,245968
Ternary String QSort,common_prefix,600,1.01525,35023
String MergeSort (LCP),common_prefix,600,2.46224,35991
MSD Radix Sort,common_prefix,600,4.89139,31262
MSD Radix + TStrQSort,common_prefix,600,4.45832,31939
QuickSort (std),common_prefix,700,10.5135,366621
MergeSort (std),common_prefix,700,9.08447,294951
Ternary String QSort,common_prefix,700,1.20404,40732
String MergeSort (LCP),common_prefix,700,2.82794,42271
MSD Radix Sort,common_prefix,700,5.54109,36468
MSD Radix + TStrQSort,common_prefix,700,5.1392,37390
QuickSort (std),common_prefix,800,11.7517,416091
MergeSort (std),common_prefix,800,10.6113,344993
Ternary String QSort,common_prefix,800,1.39176,47579
String MergeSort (LCP),common_prefix,800,3.25011,48609
MSD Radix Sort,common_prefix,800,6.33242,41690
MSD Radix + TStrQSort,common_prefix,800,5.84087,42931
QuickSort (std),common_prefix,900,13.2234,469784
MergeSort (std),common_prefix,900,12.1286,394620
Ternary String QSort,common_prefix,900,1.52889,53045
String MergeSort (LCP),common_prefix,900,3.69987,54957
MSD Radix Sort,common_prefix,900,7.07161,46929
MSD Radix + TStrQSort,common_prefix,900,6.57354,48359
QuickSort (std),common_prefix,1000,14.975,531356
MergeSort (std),common_prefix,1000,13.7254,446976
Ternary String QSort,common_prefix,1000,1.73537,59650
String MergeSort (LCP),common_prefix,1000,4.2998,61404
MSD Radix Sort,common_prefix,1000,7.89518,52156
MSD Radix + TStrQSort,common_prefix,1000,7.29552,53928
QuickSort (std),common_prefix,1100,17.3312,616196
MergeSort (std),common_prefix,1100,15.2843,497983
Ternary String QSort,common_prefix,1100,1.96093,65238
String MergeSort (LCP),common_prefix,1100,4.60813,67785
MSD Radix Sort,common_prefix,1100,8.64579,57392
MSD Radix + TStrQSort,common_prefix,1100,7.96351,59411
QuickSort (std),common_prefix,1200,18.4298,655297
MergeSort (std),common_prefix,1200,16.9263,551596
Ternary String QSort,common_prefix,1200,2.05279,70567
String MergeSort (LCP),common_prefix,1200,5.09408,74249
MSD Radix Sort,common_prefix,1200,9.39044,62628
MSD Radix + TStrQSort,common_prefix,1200,8.77724,64953
QuickSort (std),common_prefix,1300,20.7023,735978
MergeSort (std),common_prefix,1300,19.5888,607452
Ternary String QSort,common_prefix,1300,2.33646,78712
String MergeSort (LCP),common_prefix,1300,5.6651,80773
MSD Radix Sort,common_prefix,1300,10.4557,67878
MSD Radix + TStrQSort,common_prefix,1300,9.49617,70614
QuickSort (std),common_prefix,1400,22.1246,786281
MergeSort (std),common_prefix,1400,20.3586,661210
Ternary String QSort,common_prefix,1400,2.53953,85131
String MergeSort (LCP),common_prefix,1400,5.97347,87297
MSD Radix Sort,common_prefix,1400,11.1428,73106
MSD Radix + TStrQSort,common_prefix,1400,10.3918,76202
QuickSort (std),common_prefix,1500,24.8377,877941
MergeSort (std),common_prefix,1500,21.9783,716269
Ternary String QSort,common_prefix,1500,2.76326,90674
String MergeSort (LCP),common_prefix,1500,6.43115,93846
MSD Radix Sort,common_prefix,1500,11.8924,78349
MSD Radix + TStrQSort,common_prefix,1500,11.068,82064
QuickSort (std),common_prefix,1600,27.7277,982568
MergeSort (std),common_prefix,1600,23.7131,772770
Ternary String QSort,common_prefix,1600,2.84892,96197
String MergeSort (LCP),common_prefix,1600,6.89032,100389
MSD Radix Sort,common_prefix,1600,12.6131,83600
MSD Radix + TStrQSort,common_prefix,1600,11.6359,87484
QuickSort (std),common_prefix,1700,28.1092,999565
MergeSort (std),common_prefix,1700,25.3203,826386
Ternary String QSort,common_prefix,1700,3.03284,102848
String MergeSort (LCP),common_prefix,1700,7.39182,106866
MSD Radix Sort,common_prefix,1700,13.3766,88846
MSD Radix + TStrQSort,common_prefix,1700,12.3651,93260
QuickSort (std),common_prefix,1800,32.4969,1156008
MergeSort (std),common_prefix,1800,27.1148,883988
Ternary String QSort,common_prefix,1800,3.34467,110462
String MergeSort (LCP),common_prefix,1800,8.40483,113483
MSD Radix Sort,common_prefix,1800,14.3832,94080
MSD Radix + TStrQSort,common_prefix,1800,13.1752,98717
QuickSort (std),common_prefix,1900,32.094,1141029
MergeSort (std),common_prefix,1900,28.7573,939620
Ternary String QSort,common_prefix,1900,3.4034,115572
String MergeSort (LCP),common_prefix,1900,8.30417,120083
MSD Radix Sort,common_prefix,1900,15.0243,99345
MSD Radix + TStrQSort,common_prefix,1900,13.8189,104292
QuickSort (std),common_prefix,2000,34.5474,1222412
MergeSort (std),common_prefix,2000,30.5693,999520
Ternary String QSort,common_prefix,2000,3.60654,121473
String MergeSort (LCP),common_prefix,2000,8.76296,126766
MSD Radix Sort,common_prefix,2000,15.8098,104605
MSD Radix + TStrQSort,common_prefix,2000,14.5057,110131
QuickSort (std),common_prefix,2100,36.493,1292804
MergeSort (std),common_prefix,2100,32.221,1053674
Ternary String QSort,common_prefix,2100,3.87146,128257
String MergeSort (LCP),common_prefix,2100,9.22388,133315
MSD Radix Sort,common_prefix,2100,16.6601,109861
MSD Radix + TStrQSort,common_prefix,2100,15.2903,115933
QuickSort (std),common_prefix,2200,37.6108,1334867
MergeSort (std),common_prefix,2200,34.0511,1113239
Ternary String QSort,common_prefix,2200,3.99342,134857
String MergeSort (LCP),common_prefix,2200,9.76832,140023
MSD Radix Sort,common_prefix,2200,17.5485,115133
MSD Radix + TStrQSort,common_prefix,2200,15.9816,121517
QuickSort (std),common_prefix,2300,39.9184,1419574
MergeSort (std),common_prefix,2300,35.8606,1172706
Ternary String QSort,common_prefix,2300,4.18844,139946
String MergeSort (LCP),common_prefix,2300,10.2149,146670
MSD Radix Sort,common_prefix,2300,18.2708,120379
MSD Radix + TStrQSort,common_prefix,2300,16.6866,127200
QuickSort (std),common_prefix,2400,41.3597,1464703
MergeSort (std),common_prefix,2400,37.5827,1230764
Ternary String QSort,common_prefix,2400,4.33041,146666
String MergeSort (LCP),common_prefix,2400,10.6866,153356
MSD Radix Sort,common_prefix,2400,19.0562,125647
MSD Radix + TStrQSort,common_prefix,2400,17.3864,132861
QuickSort (std),common_prefix,2500,44.0775,1567981
MergeSort (std),common_prefix,2500,39.416,1289009
Ternary String QSort,common_prefix,2500,4.50217,152074
String MergeSort (LCP),common_prefix,2500,11.2068,159987
MSD Radix Sort,common_prefix,2500,19.9348,130919
MSD Radix + TStrQSort,common_prefix,2500,18.2795,138493
QuickSort (std),common_prefix,2600,46.0449,1637705
MergeSort (std),common_prefix,2600,41.2361,1349516
Ternary String QSort,common_prefix,2600,4.74594,159596
String MergeSort (LCP),common_prefix,2600,11.6772,166726
MSD Radix Sort,common_prefix,2600,20.8296,136196
MSD Radix + TStrQSort,common_prefix,2600,18.8708,144154
QuickSort (std),common_prefix,2700,54.0864,1737479
MergeSort (std),common_prefix,2700,43.0995,1409460
Ternary String QSort,common_prefix,2700,4.94191,165978
String MergeSort (LCP),common_prefix,2700,12.1218,173562
MSD Radix Sort,common_prefix,2700,21.5897,141478
MSD Radix + TStrQSort,common_prefix,2700,19.5239,149517
QuickSort (std),common_prefix,2800,51.0155,1813721
MergeSort (std),common_prefix,2800,44.9344,1470525
Ternary String QSort,common_prefix,2800,5.17328,171790
String MergeSort (LCP),common_prefix,2800,12.655,180336
MSD Radix Sort,common_prefix,2800,22.5005,146749
MSD Radix + TStrQSort,common_prefix,2800,20.331,155437
QuickSort (std),common_prefix,2900,52.2115,1856947
MergeSort (std),common_prefix,2900,46.8129,1531093
Ternary String QSort,common_prefix,2900,5.34445,179269
String MergeSort (LCP),common_prefix,2900,13.1689,187047
MSD Radix Sort,common_prefix,2900,23.769,152015
MSD Radix + TStrQSort,common_prefix,2900,21.9479,161137
QuickSort (std),common_prefix,3000,53.8052,1913163
MergeSort (std),common_prefix,3000,48.5554,1590161
Ternary String QSort,common_prefix,3000,5.54298,184148
String MergeSort (LCP),common_prefix,3000,13.5981,193816
MSD Radix Sort,common_prefix,3000,24.1802,157280
MSD Radix + TStrQSort,common_prefix,3000,21.8045,166967
