algorithm,array_type,n,time_ms,char_cmps
String MergeSort (LCP),random,2100,8.537,28366
MSD Radix Sort,random,2100,2.26202,4860
MSD Radix + TStrQSort,random,2100,0.891684,10796
QuickSort (std),random,2200,3.26878,72348
MergeSort (std),random,2200,4.43426,30554
Ternary String QSort,random,2200,1.32957,23060
String MergeSort (LCP),random,2200,7.23417,30118
MSD Radix Sort,random,2200,2.40737,5128
MSD Radix + TStrQSort,random,2200,0.978117,11323
QuickSort (std),random,2300,3.36954,70989
MergeSort (std),random,2300,4.93383,32249
Ternary String QSort,random,2300,1.56062,25082
String MergeSort (LCP),random,2300,7.73786,31810
MSD Radix Sort,random,2300,2.79394,5391
MSD Radix + TStrQSort,random,2300,1.0608,12013
QuickSort (std),random,2400,4.77113,80058
MergeSort (std),random,2400,9.84472,33988
Ternary String QSort,random,2400,1.78195,28306
String MergeSort (LCP),random,2400,10.588,33494
MSD Radix Sort,random,2400,4.24543,5659
MSD Radix + TStrQSort,random,2400,1.72703,12600
QuickSort (std),random,2500,8.25891,81026
MergeSort (std),random,2500,18.3065,35751
Ternary String QSort,random,2500,3.22716,27085
String MergeSort (LCP),random,2500,22.6787,35254
MSD Radix Sort,random,2500,4.84815,5912
MSD Radix + TStrQSort,random,2500,2.19735,13287
QuickSort (std),random,2600,5.71133,84891
MergeSort (std),random,2600,10.104,37418
Ternary String QSort,random,2600,2.99292,29565
String MergeSort (LCP),random,2600,14.8604,36871
MSD Radix Sort,random,2600,5.50323,6165
MSD Radix + TStrQSort,random,2600,2.27375,13913
QuickSort (std),random,2700,9.04508,86833
MergeSort (std),random,2700,8.82408,39220
Ternary String QSort,random,2700,2.31266,29717
String MergeSort (LCP),random,2700,12.501,38668
MSD Radix Sort,random,2700,3.6491,6449
MSD Radix + TStrQSort,random,2700,1.37286,14507
QuickSort (std),random,2800,4.68194,89855
MergeSort (std),random,2800,10.0226,40891
Ternary String QSort,random,2800,2.26908,30320
String MergeSort (LCP),random,2800,12.093,40349
MSD Radix Sort,random,2800,3.91089,6715
MSD Radix + TStrQSort,random,2800,1.48227,15331
QuickSort (std),random,2900,5.04797,97191
MergeSort (std),random,2900,7.00117,42684
Ternary String QSort,random,2900,2.23265,32596
String MergeSort (LCP),random,2900,10.1368,42149
MSD Radix Sort,random,2900,3.51694,6993
MSD Radix + TStrQSort,random,2900,1.3454,16294
QuickSort (std),random,3000,4.53834,100359
MergeSort (std),random,3000,6.33263,44497
Ternary String QSort,random,3000,1.98426,34184
String MergeSort (LCP),random,3000,10.2501,43874
MSD Radix Sort,random,3000,3.71844,7277
MSD Radix + TStrQSort,random,3000,1.37573,16955
QuickSort (std),reverse_sorted,100,0.0852,1956
MergeSort (std),reverse_sorted,100,0.117842,594
Ternary String QSort,reverse_sorted,100,0.036,616
String MergeSort (LCP),reverse_sorted,100,0.19645,437
MSD Radix Sort,reverse_sorted,100,0.135517,245
MSD Radix + TStrQSort,reverse_sorted,100,0.0345166,616
QuickSort (std),reverse_sorted,200,0.194392,4360
MergeSort (std),reverse_sorted,200,0.255183,1281
Ternary String QSort,reverse_sorted,200,0.0695168,1239
String MergeSort (LCP),reverse_sorted,200,0.427441,971
MSD Radix Sort,reverse_sorted,200,0.257692,485
MSD Radix + TStrQSort,reverse_sorted,200,0.080525,882
QuickSort (std),reverse_sorted,300,0.281625,6033
MergeSort (std),reverse_sorted,300,0.403025,2070
Ternary String QSort,reverse_sorted,300,0.114075,2055
String MergeSort (LCP),reverse_sorted,300,0.672525,1544
MSD Radix Sort,reverse_sorted,300,0.389966,734
MSD Radix + TStrQSort,reverse_sorted,300,0.120783,1377
QuickSort (std),reverse_sorted,400,0.459225,10611
MergeSort (std),reverse_sorted,400,0.551209,2814
Ternary String QSort,reverse_sorted,400,0.148225,2721
String MergeSort (LCP),reverse_sorted,400,0.930825,2148
MSD Radix Sort,reverse_sorted,400,0.512517,976
MSD Radix + TStrQSort,reverse_sorted,400,0.158067,1826
QuickSort (std),reverse_sorted,500,0.631175,14889
MergeSort (std),reverse_sorted,500,0.704283,3749
Ternary String QSort,reverse_sorted,500,0.195625,3620
String MergeSort (LCP),reverse_sorted,500,1.17664,2823
MSD Radix Sort,reverse_sorted,500,0.63685,1222
MSD Radix + TStrQSort,reverse_sorted,500,0.200392,2310
QuickSort (std),reverse_sorted,600,0.636625,13779
MergeSort (std),reverse_sorted,600,0.860975,4453
Ternary String QSort,reverse_sorted,600,0.243392,4546
String MergeSort (LCP),reverse_sorted,600,1.43824,3390
MSD Radix Sort,reverse_sorted,600,0.759917,1467
MSD Radix + TStrQSort,reverse_sorted,600,0.2392,2806
QuickSort (std),reverse_sorted,700,0.882642,20392
MergeSort (std),reverse_sorted,700,1.01818,5233
Ternary String QSort,reverse_sorted,700,0.29275,5491
String MergeSort (LCP),reverse_sorted,700,1.71115,4027
MSD Radix Sort,reverse_sorted,700,0.8953,1717
MSD Radix + TStrQSort,reverse_sorted,700,0.279416,3291
QuickSort (std),reverse_sorted,800,1.04067,23835
MergeSort (std),reverse_sorted,800,1.18033,6102
Ternary String QSort,reverse_sorted,800,0.333633,6216
String MergeSort (LCP),reverse_sorted,800,1.96841,4700
MSD Radix Sort,reverse_sorted,800,1.02563,1957
MSD Radix + TStrQSort,reverse_sorted,800,0.322842,3755
QuickSort (std),reverse_sorted,900,0.962717,19502
MergeSort (std),reverse_sorted,900,1.34655,7086
Ternary String QSort,reverse_sorted,900,0.379517,7119
String MergeSort (LCP),reverse_sorted,900,2.24252,5397
MSD Radix Sort,reverse_sorted,900,1.15951,2201
MSD Radix + TStrQSort,reverse_sorted,900,0.361,4232
QuickSort (std),reverse_sorted,1000,1.33821,30611
MergeSort (std),reverse_sorted,1000,1.50638,8038
Ternary String QSort,reverse_sorted,1000,0.43755,8219
String MergeSort (LCP),reverse_sorted,1000,2.51922,6145
MSD Radix Sort,reverse_sorted,1000,1.26779,2442
MSD Radix + TStrQSort,reverse_sorted,1000,0.406792,4725
QuickSort (std),reverse_sorted,1100,1.54093,35358
MergeSort (std),reverse_sorted,1100,1.68815,8706
Ternary String QSort,reverse_sorted,1100,0.4855,9026
String MergeSort (LCP),reverse_sorted,1100,2.81249,6750
MSD Radix Sort,reverse_sorted,1100,1.39209,2676
